workspace_id,title,year,venue,domain,task,best_model,dataset_name,uav_collected,num_classes,mIoU,mPA,F1,Dice,PA,weed_F1,crop_F1,edge_runtime,device_family,device,precision,resolution_input,fps,latency_ms,power_w,params_M,gflops
SCI-001084,A Preliminary Study on U-Net for Crop Monitoring Using Low-Altitude Drone Imagery,2025,Proceedings of the 8th International Conference on Engineering Mechanics and Automation ICEMA 2025,crop-row,semantic,DeepLabV3+ (highest mIoU 82.90%); ResUNet SCSE best for weed IoU 77.49%,WeedsGalore,True,3,0.8290,,,,,,,N,Efficiency-only,No physical hardware deployed (preliminary feasibility study); training/GPU details not specified,,600,,,,31.4000,
SCI-001085,Accelerating UAV-Based Agricultural Field Segmentation Using YOLOv11 and Rockchip NPU Quantization,2026,"2026 Systems of Signal Synchronization, Generating and Processing in Telecommunications (SYNCHROINFO)",crop-row,instance,YOLOv11s-seg (RKNN INT8) - mAP@0.5 0.85,Combined UAE + synthetic UAV agricultural dataset,True,3,,,,,,,,Y,Rockchip RK3588,"Orange Pi 5+ (Rockchip RK3588, 6 TOPS NPU)",INT8 (post-training quantized RKNN),512,62.5000,16.0000,,,
SCI-001090,Resolution-Accuracy Trade-offs in UAV-Based Semantic Segmentation for Precision Agricultural Imagery,2026,Indonesian Journal of Electrical Engineering and Informatics (IJEEI),other-veg,semantic,U-Net3+ (mIoU 0.799),Agriculture-Vision (UAV-acquired agricultural anomalies),True,,0.7990,,,0.9545,,,,N,-None-,Not specified (training-time analysis only; no inference-hardware details given),,,,,,,
SCI-001096,Deep Learning for Semantic Segmentation in Crops: Generalization from Opuntia spp.,2026,AgriEngineering,other-veg,semantic,Mask2Former (IoU 0.897 on Opuntia spp.),"UAV RGB orthomosaics of Opuntia spp. (prickly pear, Tulancingo) + Agave salmiana (Singuilucan)",True,2,0.8970,,,0.9560,0.9680,,,Y,Desktop/Server GPU,"Desktop workstation: NVIDIA GeForce RTX 4060 Ti 16 GB, Intel i9-12900K, 32 GB RAM (Pop! OS 22.04, Linux 6.12.10, CUDA 12.8, driver 570.153.02); no embedded/edge deployment",,224,112.4000,8.9000,,,
SCI-001153,Recognizing Zucchinis Intercropped with Sunflowers in UAV Visible Images Using an Improved Method Based on OCRNet,2021,Remote Sensing,crop-only,semantic,Improved OCRNet,"Self-collected UAV visible imagery (Hetao Irrigation District, Inner Mongolia)",True,,0.9505,0.9689,,,,,,N,-None-,,,,,,,,
SCI-001173,Real-time Crop Classification Using Edge Computing and Deep Learning,2020,Consumer Communications and Networking Conference,crop-only,semantic,SegNet,Self-collected UAV crop fields (NCHU Experimental Farm),True,4,,,,,0.8944,,,Y,Tinker Board S,ASUS Tinker Board S (onboard) + backend server (4G LTE offload),,,1.4300,700,,,
SCI-001203,Research on the Corn Stover Image Segmentation Method via an Unmanned Aerial Vehicle (UAV) and Improved U-Net Network,2024,Agriculture,other-veg,semantic,Improved U-Net (VGG19 + CBAM + Focal-Dice loss),Self-collected UAV corn stover field images,True,2,0.8323,,,,0.9387,,,N,-None-,,,,,,,,
SCI-001210,MAENet: Multiple Attention Encoder-decoder Network for Farmland Segmentation of Remote Sensing Images,2021,IEEE Geoscience and Remote Sensing Letters,crop-only,semantic,MAENet (DPECA + DFA + GIU),Three self-made farmland image datasets (representing UAV data),True,,0.9374,,,,,,,N,-None-,,,,,,,,
SCI-001292,RPD: Learning Efficient Crops and Weeds for Field Semantic Segmentation in Drone Images,2026,IEEE Transactions on Geoscience and Remote Sensing,crop-weed,semantic,RPD-Net (reparameterized pixel-difference network; mIoU 0.8747 on PhenoBench val),"PhenoBench (sugar beet, drone) + CoFly (cotton, drone)",True,3,0.8747,,,,,,,Y,Jetson TX2,NVIDIA Jetson TX2 (also RTX 3090 / CPU compared),FP32 (reparameterized single-path inference),768,7.0000,142.9000,,0.1890,9.4200
SCI-001305,Collaborative Wheat Lodging Segmentation Semi-Supervised Learning Model Based on RSE-BiSeNet Using UAV Imagery,2023,Agronomy 13:2772,crop-only,semantic,"RSE-BiSeNet (fully supervised setting, 1200 labeled images)",self-collected UAV wheat lodging,True,2,0.8920,,0.9310,,,,,N,-None-,,,256,,,,,
SCI-001333,Real-Time Identification of Rice Weeds by UAV Low-Altitude Remote Sensing Based on Improved Semantic Segmentation Model,2021,Remote Sensing,crop-weed,semantic,FFB-BiSeNetV2,Self-collected UAV low-altitude rice paddy imagery (incl. video data),True,3,0.8028,,,,0.9309,,,Y,Jetson AGX Xavier,NVIDIA Jetson AGX Xavier,FP16 (TensorRT),800,40.1600,,,17.3900,10.7000
SCI-001334,MSEA-Net: Multi-Scale and Edge-Aware Network for Weed Segmentation,2025,AgriEngineering,crop-weed,semantic,MSEA-Net,Motion-Blurred UAV Images of Sorghum Fields,True,3,0.8742,,0.9307,,,,,Y,Unknown / not stated,,,256,,2.0000,,6.7400,
SCI-001335,Research on Intelligent Image Segmentation Based on UAV Remote Sensing and DeepLabV3+ Model,2025,"2025 IEEE 3rd International Conference on Computer, Vision and Intelligent Technology (ICCVIT)",crop-only,semantic,DeepLabV3+ (MobileNetV2),"AliCloud Tianchi UAV crop imagery (Xingren, Guizhou)",True,5,0.7274,,,0.7732,0.8851,,,Y,Unknown / not stated,,,224,,20.4000,,4.2500,
SCI-001368,Kernelytics: Multispectral Drone Imagery and Deep Learning for Early Corn Assessment,2023,IEEE MIT Undergraduate Research Technology Conference (URTC 2023),crop-only,both,"U-Net with composite 5-band input, tile size 32 (crop & weed segmentation)",self-collected UAV multispectral (DJI Phantom 4 Multispectral),True,2,,,,,0.9800,,0.6600,N,-None-,,,32,,,,,
SCI-001371,Crop Classification from Drone Imagery Based on Lightweight Semantic Segmentation Methods,2024,Remote Sensing,crop-only,semantic,PP-LiteSeg-SSA,Self-collected UAV visible-light crop dataset (9 categories),True,9,0.9479,,,,0.9902,,,Y,Unknown / not stated,,,512,12.3000,,,12.0800,9.0000
SCI-001376,Mini Drone-Based Precision Agriculture for Indonesian MSMEs: A Low-Cost AI-Assisted Monitoring System,2025,Jurnal Sistem Cerdas,other-veg,both,YOLOX (fruit instance segmentation),DJI Mini 2 SE drone video of a 300 m^2 vegetable plot (Indonesia),True,11,,,,,,,,Y,Unknown / not stated,,,,,6000,,,
SCI-001379,Eggplant Leaf Semantic Segmentation in Aerial Imagery for Precision Agriculture,2023,IEEE HNICEM 2023,crop-only,semantic,U-Net with VGG19 encoder (highest F1); FPN + VGG16 recommended for low latency,LeavesUAV (self-collected),True,2,,,0.8080,,0.9724,,,Y,CPU,CPU (desktop),,448,31.7500,31.5000,,,
SCI-001382,HRS-UNet: A Semantic Segmentation Model for Precise Crop Classification in Hyperspectral Remote Sensing Image,2025,Poster Volume II The 2025 Twenty-First International Conference on Intelligent Computing (ICIC),crop-only,semantic,HRS-UNet,UAV-HSI-Crop benchmark,True,,,,,,0.8996,,,N,-None-,,,96,,,,,
SCI-001406,Classification and Identification of Crops Using Deep Learning with UAV Data,2021,2021 IEEE International India Geoscience and Remote Sensing Symposium (InGARSS),crop-only,semantic,U-Net (CIR + NDVI input),Self-collected UAV multispectral imagery (India),True,5,0.8385,,,,0.8385,,,N,-None-,,,,,,,,
SCI-001411,Estimation of Kenaf seedling canopy coverage in saline soil using semantic segmentation of UAV RGB images,2026,Frontiers in Plant Science,crop-other,semantic,"SE-enhanced U-Net (IoU 0.8599, Dice 0.9244)","Kenaf (Hibiscus cannabinus L.) seedlings in saline-alkali soil, UAV RGB",True,2,0.8599,,0.9244,0.9244,0.9292,,,N,-None-,"None - offline experiments on a high-performance workstation (13th-gen Intel Core i5-13490F, 64 GB DDR4, NVIDIA GeForce RTX 4070; Python 3.8, CUDA 11.3, PyTorch 1.10). FCN noted as fastest inference for real-time/resource-limited applications, but no embedded deployment or inference FPS reported.",,512,,,,,
SCI-001413,EDM-UNet: An Edge-Enhanced and Attention-Guided Model for UAV-Based Weed Segmentation in Soybean Fields,2025,Agriculture,crop-weed,semantic,EDM-UNet,Self-built UAV soybean field weed dataset,True,2,0.8945,,,,,,,Y,Unknown / not stated,,,512,40.3600,,,43.9420,184.2570
