study_id,title,authors,year,artifact_name,artifact_name_citation,workflow_stages,workflow_stages_citation,ai_agent_architecture,ai_agent_architecture_citation,traceability_mechanism,traceability_mechanism_citation,provenance_maturity,provenance_maturity_citation,trust_layers,trust_layers_citation,evidence_availability,evidence_availability_citation,provenance_standard_compliance,provenance_standard_compliance_citation,evaluation_benchmark,evaluation_benchmark_citation,open_gaps,open_gaps_citation
SCI-000019,"From Generative AI to Agentic AI in Higher Education: A Structured Literature Synthesis of Instructional, Human Agency, and Governance Tensions","Nirban, Bhatia, Mangal, Bhatia",2026,"Emerging capacity; governance procedures need standardization before deeper integration

Institutional governance and security

Moderate to high capacity for access control, pilots, audits, and technical review

Overall diagnostic judgement

Ready for controlled advanced integration

Ready for guided phased adoption

Ready only for low-autonomy assistive use initially

Output",[SCI-000019#architectu#chk-2026-0f5697-architectures-149],"Emerging capacity; governance procedures need standardization before deeper integration

Institutional governance and security

Moderate to high capacity for access control, pilots, audits, and technical review

Overall diagnostic judgement

Ready for controlled advanced integration

Ready for guided phased adoption

Ready only for low-autonomy assistive use initially

Output",[SCI-000019#architectu#chk-2026-0f5697-architectures-149],"Terms like Tier 1, Tier 2 and Tier 3 are heuristic categories borrowed from Indian higher- education discourse",[SCI-000019#architectu#chk-2026-0f5697-architectures-139],"Tier 3 Concept explanation bot; remedial-learning assistant; language-support assistant; faculty lesson-planning support; basic academic helpdesk

LMS-data integration, grading, proﬁling, advising automation, high-autonomy agents

Zone A initially

Approved content only, no sensitive data access, simple disclosure, faculty-supervised use, basic AI-literacy orientation

Output",[SCI-000019#architectu#chk-2026-0f5697-architectures-150],B,[SCI-000019#architectu#chk-2026-0f5697-architectures-143],"Tier 3 Concept explanation bot; remedial-learning assistant; language-support assistant; faculty lesson-planning support; basic academic helpdesk

LMS-data integration, grading, proﬁling, advising automation, high-autonomy agents

Zone A initially

Approved content only, no sensitive data access, simple disclosure, faculty-supervised use, basic AI-literacy orientation

Output",[SCI-000019#architectu#chk-2026-0f5697-architectures-150],"Tier 3 Concept explanation bot; remedial-learning assistant; language-support assistant; faculty lesson-planning support; basic academic helpdesk

LMS-data integration, grading, proﬁling, advising automation, high-autonomy agents

Zone A initially

Approved content only, no sensitive data access, simple disclosure, faculty-supervised use, basic AI-literacy orientation

Output",[SCI-000019#architectu#chk-2026-0f5697-architectures-150],"Tier 3 Concept explanation bot; remedial-learning assistant; language-support assistant; faculty lesson-planning support; basic academic helpdesk

LMS-data integration, grading, proﬁling, advising automation, high-autonomy agents

Zone A initially

Approved content only, no sensitive data access, simple disclosure, faculty-supervised use, basic AI-literacy orientation

Output",[SCI-000019#architectu#chk-2026-0f5697-architectures-150],Not Reported,,Not Reported,
SCI-000138,AI Co-Scientist for Knowledge Synthesis in Medical Contexts: A Proof of Concept,"Rahgozar, Mortezaagha",2026,"Eligible full texts are parsed, segmented, and propagated to complemen- tary storage layers: relational databases for metadata, vector stores for se- mantic retrieval, and graph databases for modeling relationships across PI- COS elements and study attributes",[SCI-000138#2methodolo#chk-2026-3c034e-methodology-29],The platform comprises two conceptually distinct but tightly integrated components,[SCI-000138#2methodolo#chk-2026-3c034e-methodology-18],2,[SCI-000138#2methodolo#chk-2026-3c034e-methodology-24],"Eligible full texts are parsed, segmented, and propagated to complemen- tary storage layers: relational databases for metadata, vector stores for se- mantic retrieval, and graph databases for modeling relationships across PI- COS elements and study attributes",[SCI-000138#2methodolo#chk-2026-3c034e-methodology-29],"Eligible full texts are parsed, segmented, and propagated to complemen- tary storage layers: relational databases for metadata, vector stores for se- mantic retrieval, and graph databases for modeling relationships across PI- COS elements and study attributes",[SCI-000138#2methodolo#chk-2026-3c034e-methodology-29],Retrieval performance and content fidelity,[SCI-000138#2methodolo#chk-2026-3c034e-methodology-31],Rationale for baseline selection,[SCI-000138#2methodolo#chk-2026-3c034e-methodology-28],Passage segmentation and chunk identifiers,[SCI-000138#2methodolo#chk-2026-3c034e-methodology-19],"Overall, machine–human discord was largely attributable to missing or weakly articulated PICOS elements rather than definitional conflicts",[SCI-000138#3results#chk-2026-3c034e-results-34],than explicit reporting of clinical endpoints,[SCI-000138#discussion#chk-2026-3c034e-discussions-such-as--56]
SCI-000038,2026 Rai From MultiAgent Reinforcement Learning to Agentic,,,Inter-agent communication has been studied as a means of overcoming partial observability  without the bandwidth and reliability assumptions of full state-sharing,[SCI-000038#43sequence#chk-2026-0ae0c3-sequence-models-and--24],"Parallel to value decomposition, the policy-gradient strand has produced its own line of methods  adapted from single-agent counterparts",[SCI-000038#42policygr#chk-2026-0ae0c3-policy-gradient-and--21],A more recent thread reframes MARL itself as a sequence-modeling problem,[SCI-000038#43sequence#chk-2026-0ae0c3-sequence-models-and--23],"Parallel to value decomposition, the policy-gradient strand has produced its own line of methods  adapted from single-agent counterparts",[SCI-000038#42policygr#chk-2026-0ae0c3-policy-gradient-and--21],Inter-agent communication has been studied as a means of overcoming partial observability  without the bandwidth and reliability assumptions of full state-sharing,[SCI-000038#43sequence#chk-2026-0ae0c3-sequence-models-and--24],"HAPPO and HATRPO [12], published at ICLR, offer a theoretically grounded extension by deriving  the multi-agent counterpart of the trust-region policy optimization framework",[SCI-000038#42policygr#chk-2026-0ae0c3-policy-gradient-and--22],Inter-agent communication has been studied as a means of overcoming partial observability  without the bandwidth and reliability assumptions of full state-sharing,[SCI-000038#43sequence#chk-2026-0ae0c3-sequence-models-and--24],"HAPPO and HATRPO [12], published at ICLR, offer a theoretically grounded extension by deriving  the multi-agent counterpart of the trust-region policy optimization framework",[SCI-000038#42policygr#chk-2026-0ae0c3-policy-gradient-and--22],Not Reported,,Not Reported,
SCI-000134,How Software Engineering Students Use LLMs to Write Research Papers: An Experience Report,"Santos, Baldassarre, Magalhaes, Santos",2026,Not Reported,,Not Reported,,Not Reported,,Not Reported,,L0,,Not Reported,,none,,None claimed,,Not Reported,,Not Reported,
SCI-000115,Knowledge Synthesis Review Framework: Task-Level Benchmarking of LLM-Based Systems for Multi-Source Evidence Synthesis,"Shafqat, Patterson, Liss",2026,"For NMBs, the schema captured the document name, title, issuing body or publisher, publication date, authorship, and links to relevant scholarly sources where available",[SCI-000115#2methods#chk-2026-36bd60-methods-21],"Extraction assesses the accuracy and completeness of structured fields, including metadata, methods, findings, and links to supporting evidence",[SCI-000115#2methods#chk-2026-36bd60-methods-18],"For each routed task, the orchestration layer combined three elements: the task-specific prompt template, the relevant retrieved context from the shared RAG layer, and the best-fit model identified through performance memory",[SCI-000115#2methods#chk-2026-36bd60-methods-34],"For NMBs, the schema captured the document name, title, issuing body or publisher, publication date, authorship, and links to relevant scholarly sources where available",[SCI-000115#2methods#chk-2026-36bd60-methods-21],"For NMBs, the schema captured the document name, title, issuing body or publisher, publication date, authorship, and links to relevant scholarly sources where available",[SCI-000115#2methods#chk-2026-36bd60-methods-21],"Extraction assesses the accuracy and completeness of structured fields, including metadata, methods, findings, and links to supporting evidence",[SCI-000115#2methods#chk-2026-36bd60-methods-18],future directions and blind spots in the evidence base,[SCI-000115#2methods#chk-2026-36bd60-methods-24],"For NMBs, the schema captured the document name, title, issuing body or publisher, publication date, authorship, and links to relevant scholarly sources where available",[SCI-000115#2methods#chk-2026-36bd60-methods-21],"In extraction, all models robustly identified titles and publishing sources, with match rates exceeding 90%",[SCI-000115#3results#chk-2026-36bd60-results-36],"The study highlights why the design of AI-assisted synthesis workflows matters, with implications for both evidence-synthesis methodology and AI governance",[SCI-000115#4discussio#chk-2026-36bd60-discussion-50]
SCI-000041,2026 Taherinezhad AutoSynthesis An agentic system for aut,,,Not Reported,,Not Reported,,Not Reported,,Not Reported,,L0,,Not Reported,,none,,None claimed,,(i,[SCI-000041#resultsfor#chk-2026-4cdaa0-results-for-quantita-42],Not Reported,
SCI-000042,2026 Tongnamtiang An AIAssisted Research Automation System for Scho,,,Not Reported,,Not Reported,,Not Reported,,Not Reported,,L0,,Not Reported,,none,,None claimed,,Stage  Description  No,[SCI-000042#resultsand#chk-2026-2fe713-results-and-discussi-23],Sompoch Tongnamtiang et al,[SCI-000042#conclusion#chk-2026-2fe713-conclusion-28]
SCI-000043,2026 Wang BioInsight Multi-Agent Orchestration fo,,,Not Reported,,Not Reported,,Not Reported,,Not Reported,,L0,,Not Reported,,none,,None claimed,,Not Reported,,Not Reported,
SCI-000044,2026 Wang DeepER-Med Advancing Deep Evidence-Base,,,"o Query Expansion contains six APIs: get_normalized_entity, get_tail_entity_by_type,

get_relation_type, get_tail_entity_by_relation, get_shortest_path_by_entity_type, and  get_shortest_paths",[SCI-000044#methods#chk-2026-511aca-methods-48],the given entity pair,[SCI-000044#methods#chk-2026-511aca-methods-47],"In the agentic collaboration module, DeepER-Med selects appropriate application programming  interfaces (APIs) for each sub-question (𝑄𝑄𝑖𝑖) based on the documented capabilities of available  biomedical tools",[SCI-000044#methods#chk-2026-511aca-methods-46],"o Query Expansion contains six APIs: get_normalized_entity, get_tail_entity_by_type,

get_relation_type, get_tail_entity_by_relation, get_shortest_path_by_entity_type, and  get_shortest_paths",[SCI-000044#methods#chk-2026-511aca-methods-48],"o Query Expansion contains six APIs: get_normalized_entity, get_tail_entity_by_type,

get_relation_type, get_tail_entity_by_relation, get_shortest_path_by_entity_type, and  get_shortest_paths",[SCI-000044#methods#chk-2026-511aca-methods-48],"In the reference answer curation stage, domain experts and LLM judgment (GPT-5",[SCI-000044#methods#chk-2026-511aca-methods-56],"In the evidence synthesis module, each (𝑄𝑄𝑖𝑖, 𝐸𝐸𝑖𝑖) pair is re-interpreted using GPT-4o",[SCI-000044#methods#chk-2026-511aca-methods-50],"In the reference answer curation stage, domain experts and LLM judgment (GPT-5",[SCI-000044#methods#chk-2026-511aca-methods-56],"On BioMaze, DeepER-Med outperformed several comparator conﬁgurations including chain-of- thought prompting, retrieval-augmented generation, and graph-augmented LLM methods such as G- Retriever29 and CoK30",[SCI-000044#results#chk-2026-511aca-results-23],"Recent agentic biomedical research platforms such as Biomni39, DeepEvidence40, and Alvessa41 have  demonstrated the feasibility of coordinated tool-based reasoning, but their evaluations primarily  emphasize black-box task-level accuracy (Append Table 1)",[SCI-000044#discussion#chk-2026-511aca-discussions-31]
SCI-000045,2026 Wang DeepWeaver Bridging the Evidence Synthesis Gap in,,,Not Reported,,Not Reported,,Not Reported,,Not Reported,,L0,,Not Reported,,none,,None claimed,,Not Reported,,Not Reported,
SCI-000046,2026 Yang ARIS Autonomous Research via Adversaria,,,Not Reported,,Not Reported,,Not Reported,,Not Reported,,L0,,Not Reported,,none,,None claimed,,"EXPERIMENT_

EXPERIMENT

LOG",[SCI-000046#results#chk-2026-60d250-results-56],Not Reported,
SCI-000136,Investigating Novice Researchers' Perceptions of Research Privacy Within LLM-Assisted Workflows,"Zhang, Wen, He, Ma, Xiao, Yi, Li",2026,Not Reported,,Not Reported,,Not Reported,,Not Reported,,L0,,Not Reported,,none,,None claimed,,Not Reported,,Not Reported,
SCI-000144,Do Deployment Constraints Make LLMs Hallucinate Citations? An Empirical Study across Four Models and Five Prompting Regimes,"Zhao, Tang, Qian",2026,Not Reported,,Not Reported,,Not Reported,,Not Reported,,L0,,Not Reported,,none,,None claimed,,"Do Deployment Constraints Make LLMs Hallucinate Citations?

An Empirical Study across Four Models and Five Prompting

Regimes

Chen Zhao cz1296@nyu",[SCI-000144#dodeployme#chk-2026-c5c30b-do-deployment-constr-01],Not Reported,
